timestamp,frame_idx,did_infer,detections,capture_ms,infer_ms,draw_ms,encode_ms,emit_ms,loop_ms,display_fps
2026-04-24 09:46:21,118,0,0,2.133,0.0,5.597,2.161,0.433,10.843,26.023
2026-04-24 09:46:21,119,0,0,2.243,0.0,4.861,1.183,0.357,9.105,26.73
2026-04-24 09:46:21,120,1,0,4.39,166.33,5.334,1.89,0.368,178.787,24.587
2026-04-24 09:46:21,121,0,0,2.216,0.0,5.551,1.375,0.416,10.102,25.565
2026-04-24 09:46:21,122,0,0,7.954,0.0,6.069,2.564,0.407,17.486,27.124
2026-04-24 09:46:22,123,1,0,4.669,169.652,5.924,1.965,0.464,183.176,24.919
2026-04-24 09:46:22,124,0,0,1.96,0.0,5.815,1.854,0.405,10.5,26.332
2026-04-24 09:46:22,125,0,0,2.684,0.0,4.627,2.25,0.448,10.5,26.915
2026-04-24 09:46:22,126,1,0,1.652,177.332,3.758,1.877,0.393,185.477,24.716
2026-04-24 09:46:22,127,0,0,2.67,0.0,5.182,1.179,0.337,9.741,26.041
2026-04-24 09:46:22,128,0,0,9.083,0.0,4.369,1.553,0.397,15.856,27.148
2026-04-24 09:46:22,129,1,0,2.36,167.64,5.597,1.758,0.382,178.171,24.96
2026-04-24 09:46:22,130,0,0,1.782,0.0,4.553,1.534,0.389,8.706,25.893
2026-04-24 09:46:22,131,0,0,2.629,0.0,5.593,1.577,0.301,10.437,27.345
2026-04-24 09:46:22,132,1,0,2.113,170.399,5.665,1.837,0.393,180.976,25.121
2026-04-24 09:46:22,133,0,0,2.988,0.0,6.057,2.099,0.419,12.106,25.985
2026-04-24 09:46:22,134,0,0,2.583,0.0,6.25,1.872,0.264,11.474,26.753
2026-04-24 09:46:23,135,1,0,2.238,171.803,6.303,1.955,0.419,183.219,24.569
2026-04-24 09:46:23,136,0,0,7.89,0.0,5.099,2.123,0.413,16.027,26.633
2026-04-24 09:46:23,137,0,0,1.794,0.0,5.976,1.963,0.401,10.667,26.292
2026-04-24 09:46:23,138,1,0,2.313,164.064,5.177,1.795,0.478,174.321,24.189
2026-04-24 09:46:23,139,0,0,1.956,0.0,6.549,1.79,0.397,11.179,25.802
2026-04-24 09:46:23,140,0,0,1.915,0.0,5.337,1.194,0.226,9.213,26.716
2026-04-24 09:46:23,141,1,0,10.546,162.324,6.835,2.021,0.433,182.72,24.593
2026-04-24 09:46:23,142,0,0,2.448,0.0,5.705,1.797,0.395,10.842,24.94
2026-04-24 09:46:23,143,0,0,2.02,0.0,6.284,2.047,0.414,11.266,26.08
2026-04-24 09:46:23,144,1,0,2.126,165.154,6.125,1.998,0.406,176.355,24.004
2026-04-24 09:46:23,145,0,0,2.76,0.0,3.951,0.967,0.389,8.503,24.879
2026-04-24 09:46:23,146,0,0,5.71,0.0,5.643,1.757,0.382,13.983,26.798
2026-04-24 09:46:24,147,1,0,2.073,194.677,5.358,1.82,0.394,204.806,24.567
2026-04-24 09:46:24,148,0,0,1.755,0.0,3.933,1.129,0.264,7.52,25.772
2026-04-24 09:46:24,149,0,0,3.452,0.0,5.553,1.641,0.404,11.62,27.253
2026-04-24 09:46:24,150,1,0,2.01,176.455,6.258,1.826,0.405,187.45,25.018
2026-04-24 09:46:24,151,0,0,2.156,0.0,4.957,0.907,0.293,8.836,25.879
2026-04-24 09:46:24,152,0,0,2.56,0.0,5.761,2.124,0.502,11.426,27.285
2026-04-24 09:46:24,153,1,0,1.65,166.6,5.247,1.926,0.435,176.377,25.075
2026-04-24 09:46:24,154,0,0,10.556,0.0,5.355,1.789,0.385,18.627,26.037
2026-04-24 09:46:24,155,0,0,2.64,0.0,6.427,2.091,0.423,12.103,27.113
2026-04-24 09:46:24,156,1,0,2.675,160.914,5.392,2.181,0.412,172.18,24.936
2026-04-24 09:46:24,157,0,0,2.182,0.0,5.92,1.485,0.438,10.481,25.971
2026-04-24 09:46:24,158,0,0,1.672,0.0,5.875,1.753,0.465,10.519,27.111
2026-04-24 09:46:25,159,1,0,6.422,170.724,5.501,1.3,0.439,184.834,24.908
2026-04-24 09:46:25,160,0,0,2.07,0.0,5.595,1.89,0.406,10.414,26.09
2026-04-24 09:46:25,161,0,0,2.655,0.0,5.873,1.977,0.486,11.443,26.987
2026-04-24 09:46:25,162,1,0,2.123,170.82,5.976,1.792,0.442,181.655,24.79
2026-04-24 09:46:25,163,0,0,1.75,0.0,5.255,1.899,0.246,9.623,25.787
2026-04-24 09:46:25,164,0,0,6.819,0.0,5.984,1.879,0.202,15.296,28.203
2026-04-24 09:46:25,165,1,0,2.22,175.294,5.454,1.849,0.391,185.711,25.856
2026-04-24 09:46:25,166,0,0,2.143,0.0,5.157,1.749,0.368,9.828,26.673
2026-04-24 09:46:25,167,0,0,2.399,0.0,6.481,2.028,0.421,11.801,27.494
2026-04-24 09:46:25,168,1,0,10.327,163.148,6.458,2.026,0.455,182.985,25.262
2026-04-24 09:46:25,169,0,0,1.81,0.0,5.661,1.136,0.232,9.324,26.149
2026-04-24 09:46:25,170,0,0,3.084,0.0,6.204,1.96,0.433,12.119,27.142
2026-04-24 09:46:26,171,1,0,1.883,178.76,5.411,1.905,0.253,188.575,24.922
2026-04-24 09:46:26,172,0,0,6.237,0.0,21.051,3.972,0.533,32.168,26.441
2026-04-24 09:46:26,173,0,0,1.981,0.0,19.391,2.074,0.416,38.565,26.021
2026-04-24 09:46:26,174,1,0,2.042,224.851,18.978,1.169,0.332,248.131,23.79
2026-04-24 09:46:26,175,0,0,2.353,0.0,20.216,1.509,0.37,25.261,23.811
2026-04-24 09:46:26,176,0,0,1.875,0.0,19.098,1.478,0.31,23.219,23.908
2026-04-24 09:46:27,177,1,0,1.708,571.942,5.316,2.074,0.354,582.204,21.682
2026-04-24 09:46:27,178,0,0,1.523,0.0,4.448,1.413,0.389,8.397,23.107
2026-04-24 09:46:27,179,0,0,2.826,0.0,4.672,1.777,0.289,9.932,24.643
2026-04-24 09:46:27,180,1,0,12.394,207.76,3.091,0.857,0.214,224.768,22.601
2026-04-24 09:46:27,181,0,0,1.896,0.0,5.993,1.411,0.473,10.608,23.853
2026-04-24 09:46:27,182,0,0,1.681,0.0,5.903,1.55,0.301,9.9,24.995
2026-04-24 09:46:27,183,1,0,3.421,247.286,7.379,2.128,0.455,261.075,22.856
2026-04-24 09:46:27,184,0,0,1.833,0.0,6.436,1.617,0.412,10.702,23.905
2026-04-24 09:46:27,185,0,0,3.07,0.0,4.032,1.422,0.278,9.243,25.389
2026-04-24 09:46:28,186,1,0,8.448,328.428,8.859,2.247,0.426,348.984,23.134
2026-04-24 09:46:28,187,0,0,1.849,0.0,5.237,1.273,0.318,9.302,24.01
2026-04-24 09:46:28,188,0,0,1.954,0.0,5.972,1.535,0.314,10.237,25.471
2026-04-24 09:46:28,189,1,0,15.406,353.974,5.27,2.083,0.471,377.635,23.187
2026-04-24 09:46:28,190,0,0,1.756,0.0,5.31,2.26,0.425,11.356,24.341
2026-04-24 09:46:28,191,0,0,1.766,0.0,5.453,1.416,0.284,9.478,25.433
2026-04-24 09:46:28,192,1,0,2.054,273.343,4.682,1.543,0.272,282.383,23.222
2026-04-24 09:46:29,193,0,0,4.79,0.0,5.697,1.708,0.49,13.176,24.695
2026-04-24 09:46:29,194,0,0,6.441,0.0,7.092,1.381,0.575,16.378,26.167
2026-04-24 09:46:29,195,1,0,1.836,316.253,5.808,1.78,0.399,326.63,23.838
2026-04-24 09:46:29,196,0,0,2.287,0.0,4.85,1.182,0.259,9.035,24.883
2026-04-24 09:46:29,197,0,0,1.987,0.0,5.796,1.157,0.219,9.674,26.294
2026-04-24 09:46:29,198,1,0,1.637,212.725,4.63,1.856,0.4,221.719,24.082
2026-04-24 09:46:29,199,0,0,2.056,0.0,5.441,2.254,0.515,10.686,25.635
2026-04-24 09:46:29,200,0,0,1.999,0.0,4.52,1.179,0.433,8.495,26.368
2026-04-24 09:46:29,201,1,0,2.572,203.898,18.848,1.89,0.411,228.056,24.164
2026-04-24 09:46:30,202,0,0,2.136,0.0,20.627,2.153,0.414,25.807,24.248
2026-04-24 09:46:30,203,0,0,3.639,0.0,18.476,1.871,0.447,24.875,24.302
2026-04-24 09:46:30,204,1,0,2.197,195.536,5.435,1.783,0.393,205.823,22.294
2026-04-24 09:46:30,205,0,0,5.384,0.0,4.132,1.562,0.382,11.973,24.469
2026-04-24 09:46:30,206,0,0,1.561,0.0,4.868,1.847,0.393,9.139,26.068
2026-04-24 09:46:30,207,1,0,1.913,181.451,6.875,1.491,0.259,192.516,23.94
2026-04-24 09:46:30,208,0,0,3.219,0.0,5.986,1.843,0.399,11.925,25.219
2026-04-24 09:46:30,209,0,0,7.403,0.0,5.688,1.017,0.203,14.601,26.662
2026-04-24 09:46:30,210,1,0,2.267,209.214,5.148,1.771,0.381,219.268,24.401
2026-04-24 09:46:30,211,0,0,2.062,0.0,6.725,2.045,0.468,11.796,25.497
2026-04-24 09:46:30,212,0,0,3.275,0.0,5.769,1.398,0.293,11.137,26.66
2026-04-24 09:46:31,213,1,0,5.566,204.928,4.8,1.782,0.212,217.581,24.436
2026-04-24 09:46:31,214,0,0,2.151,0.0,5.633,1.826,0.639,10.75,25.279
2026-04-24 09:46:31,215,0,0,1.804,0.0,5.186,2.14,0.391,10.019,26.41
2026-04-24 09:46:31,216,1,0,2.672,203.265,20.496,1.55,0.465,228.923,24.195
2026-04-24 09:46:31,217,0,0,2.238,0.0,5.231,1.423,0.388,9.83,24.221
2026-04-24 09:46:31,218,0,0,2.06,0.0,6.691,1.746,0.221,11.008,25.704
